Transcript stable ID	Gene stable ID version	Transcript stable ID version
ENSMPUT00000000081	ENSMPUG00000000081.1	ENSMPUT00000000081.1
ENSMPUT00000000082	ENSMPUG00000000082.1	ENSMPUT00000000082.1
ENSMPUT00000000083	ENSMPUG00000000083.1	ENSMPUT00000000083.1
ENSMPUT00000000084	ENSMPUG00000000084.1	ENSMPUT00000000084.1
ENSMPUT00000000085	ENSMPUG00000000085.1	ENSMPUT00000000085.1
ENSMPUT00000000086	ENSMPUG00000000086.1	ENSMPUT00000000086.1
ENSMPUT00000000087	ENSMPUG00000000087.1	ENSMPUT00000000087.1
ENSMPUT00000000088	ENSMPUG00000000088.1	ENSMPUT00000000088.1
ENSMPUT00000000089	ENSMPUG00000000089.1	ENSMPUT00000000089.1
ENSMPUT00000000090	ENSMPUG00000000090.1	ENSMPUT00000000090.1
ENSMPUT00000000091	ENSMPUG00000000091.1	ENSMPUT00000000091.1
ENSMPUT00000000092	ENSMPUG00000000092.1	ENSMPUT00000000092.1
ENSMPUT00000000093	ENSMPUG00000000093.1	ENSMPUT00000000093.1
ENSMPUT00000000094	ENSMPUG00000000094.1	ENSMPUT00000000094.1
ENSMPUT00000000095	ENSMPUG00000000095.1	ENSMPUT00000000095.1
ENSMPUT00000000096	ENSMPUG00000000096.1	ENSMPUT00000000096.1
ENSMPUT00000000097	ENSMPUG00000000097.1	ENSMPUT00000000097.1
ENSMPUT00000000098	ENSMPUG00000000098.1	ENSMPUT00000000098.1
ENSMPUT00000000099	ENSMPUG00000000099.1	ENSMPUT00000000099.1
ENSMPUT00000000100	ENSMPUG00000000100.1	ENSMPUT00000000100.1
ENSMPUT00000000101	ENSMPUG00000000101.1	ENSMPUT00000000101.1
ENSMPUT00000000102	ENSMPUG00000000102.1	ENSMPUT00000000102.1
ENSMPUT00000000103	ENSMPUG00000000103.1	ENSMPUT00000000103.1
ENSMPUT00000000104	ENSMPUG00000000104.1	ENSMPUT00000000104.1
ENSMPUT00000000105	ENSMPUG00000000105.1	ENSMPUT00000000105.1
ENSMPUT00000000106	ENSMPUG00000000106.1	ENSMPUT00000000106.1
ENSMPUT00000000107	ENSMPUG00000000107.1	ENSMPUT00000000107.1
ENSMPUT00000000108	ENSMPUG00000000108.1	ENSMPUT00000000108.1
ENSMPUT00000000109	ENSMPUG00000000109.1	ENSMPUT00000000109.1
ENSMPUT00000000110	ENSMPUG00000000110.1	ENSMPUT00000000110.1
ENSMPUT00000000111	ENSMPUG00000000111.1	ENSMPUT00000000111.1
ENSMPUT00000000112	ENSMPUG00000000112.1	ENSMPUT00000000112.1
ENSMPUT00000000113	ENSMPUG00000000113.1	ENSMPUT00000000113.1
ENSMPUT00000000114	ENSMPUG00000000114.1	ENSMPUT00000000114.1
ENSMPUT00000000115	ENSMPUG00000000115.1	ENSMPUT00000000115.1
ENSMPUT00000000116	ENSMPUG00000000116.1	ENSMPUT00000000116.1
ENSMPUT00000000117	ENSMPUG00000000117.1	ENSMPUT00000000117.1
ENSMPUT00000000118	ENSMPUG00000000118.1	ENSMPUT00000000118.1
ENSMPUT00000000119	ENSMPUG00000000119.1	ENSMPUT00000000119.1
ENSMPUT00000000120	ENSMPUG00000000120.1	ENSMPUT00000000120.1
ENSMPUT00000000121	ENSMPUG00000000121.1	ENSMPUT00000000121.1
ENSMPUT00000000122	ENSMPUG00000000122.1	ENSMPUT00000000122.1
ENSMPUT00000000123	ENSMPUG00000000123.1	ENSMPUT00000000123.1
ENSMPUT00000000124	ENSMPUG00000000124.1	ENSMPUT00000000124.1
ENSMPUT00000000125	ENSMPUG00000000125.1	ENSMPUT00000000125.1
ENSMPUT00000000126	ENSMPUG00000000126.1	ENSMPUT00000000126.1
ENSMPUT00000000127	ENSMPUG00000000127.1	ENSMPUT00000000127.1
ENSMPUT00000000128	ENSMPUG00000000128.1	ENSMPUT00000000128.1
ENSMPUT00000000129	ENSMPUG00000000129.1	ENSMPUT00000000129.1
ENSMPUT00000000130	ENSMPUG00000000130.1	ENSMPUT00000000130.1
ENSMPUT00000000131	ENSMPUG00000000131.1	ENSMPUT00000000131.1
ENSMPUT00000000132	ENSMPUG00000000132.1	ENSMPUT00000000132.1
ENSMPUT00000000133	ENSMPUG00000000133.1	ENSMPUT00000000133.1
ENSMPUT00000000134	ENSMPUG00000000134.1	ENSMPUT00000000134.1
ENSMPUT00000000135	ENSMPUG00000000135.1	ENSMPUT00000000135.1
ENSMPUT00000000136	ENSMPUG00000000136.1	ENSMPUT00000000136.1
ENSMPUT00000000137	ENSMPUG00000000137.1	ENSMPUT00000000137.1
ENSMPUT00000000138	ENSMPUG00000000138.1	ENSMPUT00000000138.1
ENSMPUT00000000139	ENSMPUG00000000138.1	ENSMPUT00000000139.1
ENSMPUT00000000140	ENSMPUG00000000139.1	ENSMPUT00000000140.1
ENSMPUT00000000141	ENSMPUG00000000140.1	ENSMPUT00000000141.1
ENSMPUT00000000142	ENSMPUG00000000141.1	ENSMPUT00000000142.1
ENSMPUT00000000143	ENSMPUG00000000142.1	ENSMPUT00000000143.1
ENSMPUT00000000144	ENSMPUG00000000143.1	ENSMPUT00000000144.1
ENSMPUT00000000145	ENSMPUG00000000144.1	ENSMPUT00000000145.1
ENSMPUT00000000146	ENSMPUG00000000145.1	ENSMPUT00000000146.1
ENSMPUT00000000147	ENSMPUG00000000146.1	ENSMPUT00000000147.1
ENSMPUT00000000148	ENSMPUG00000000147.1	ENSMPUT00000000148.1
ENSMPUT00000000149	ENSMPUG00000000148.1	ENSMPUT00000000149.1
ENSMPUT00000000150	ENSMPUG00000000149.1	ENSMPUT00000000150.1
